type,oc_dt,oc_p1
案類,發生日期,發生地點
竊盜,1101001,嘉義縣朴子市
竊盜,1101001,臺北市北投區
竊盜,1101001,臺南市學甲區
竊盜,1101001,彰化縣伸港鄉
竊盜,1101001,宜蘭縣宜蘭市
竊盜,1101001,新北市林口區
竊盜,1101001,花蓮縣壽豐鄉
竊盜,1101002,宜蘭縣宜蘭市
竊盜,1101002,臺中市北屯區
竊盜,1101002,新北市土城區
竊盜,1101002,臺中市西屯區
竊盜,1101002,花蓮縣花蓮市
竊盜,1101002,新北市土城區
竊盜,1101003,雲林縣麥寮鄉
竊盜,1101003,臺南市安南區
竊盜,1101003,臺北市萬華區
竊盜,1101003,臺南市永康區
竊盜,1101003,臺南市北區
竊盜,1101004,臺中市大里區
竊盜,1101004,臺北市文山區
竊盜,1101004,臺中市大甲區
竊盜,1101004,臺南市安南區
竊盜,1101004,臺南市東區
竊盜,1101004,臺南市南區
竊盜,1101004,臺南市東區
竊盜,1101004,新北市新莊區
竊盜,1101004,彰化縣福興鄉
竊盜,1101004,臺南市南區
竊盜,1101004,臺南市安南區
竊盜,1101005,新北市新店區
竊盜,1101005,高雄市三民區
竊盜,1101005,新竹縣竹北市
竊盜,1101005,臺中市烏日區
竊盜,1101006,臺中市西屯區
竊盜,1101006,高雄市小港區
竊盜,1101006,雲林縣斗南鎮
竊盜,1101006,新北市三重區
竊盜,1101006,桃園市桃園區
竊盜,1101006,高雄市湖內區
竊盜,1101006,新竹縣竹東鎮
竊盜,1101006,臺南市麻豆區
竊盜,1101007,高雄市三民區
竊盜,1101007,桃園市中壢區
竊盜,1101007,新竹縣橫山鄉
竊盜,1101007,臺南市東區
竊盜,1101007,苗栗縣造橋鄉
竊盜,1101007,彰化縣彰化市
竊盜,1101008,新北市三重區
竊盜,1101008,高雄市永安區
竊盜,1101008,雲林縣虎尾鎮
竊盜,1101008,新北市新店區
竊盜,1101009,臺北市中山區
竊盜,1101009,臺北市信義區
竊盜,1101009,澎湖縣馬公市
竊盜,1101009,臺北市士林區
竊盜,1101010,臺北市中正區
竊盜,1101010,苗栗縣苗栗市
竊盜,1101010,澎湖縣馬公市
竊盜,1101010,臺南市永康區
竊盜,1101010,新北市三峽區
竊盜,1101010,臺北市北投區
竊盜,1101010,桃園市中壢區
竊盜,1101011,嘉義市西區
竊盜,1101011,新北市三重區
竊盜,1101011,彰化縣埔鹽鄉
竊盜,1101011,臺中市大里區
竊盜,1101011,嘉義縣大林鎮
竊盜,1101011,桃園市桃園區
竊盜,1101012,臺北市北投區
竊盜,1101012,嘉義市西區
竊盜,1101012,臺中市霧峰區
竊盜,1101012,宜蘭縣宜蘭市
竊盜,1101012,臺中市北區
竊盜,1101013,澎湖縣馬公市
竊盜,1101013,嘉義市西區
竊盜,1101013,澎湖縣馬公市
竊盜,1101013,新北市樹林區
竊盜,1101013,嘉義縣朴子市
竊盜,1101013,新竹縣竹北市
竊盜,1101013,臺中市太平區
竊盜,1101013,桃園市龜山區
竊盜,1101014,新竹市東區
竊盜,1101014,臺南市永康區
竊盜,1101014,臺中市西屯區
竊盜,1101015,新北市瑞芳區
竊盜,1101015,嘉義市東區
竊盜,1101015,臺南市麻豆區
竊盜,1101015,臺中市豐原區
竊盜,1101015,高雄市鳳山區
竊盜,1101015,澎湖縣七美鄉
竊盜,1101015,宜蘭縣冬山鄉
竊盜,1101015,新竹市北區
竊盜,1101016,新北市板橋區
竊盜,1101017,臺中市北屯區
竊盜,1101017,新北市汐止區
竊盜,1101017,臺北市信義區
竊盜,1101017,臺中市北屯區
竊盜,1101017,宜蘭縣羅東鎮
竊盜,1101018,臺北市大安區
竊盜,1101018,彰化縣花壇鄉
竊盜,1101018,桃園市桃園區
竊盜,1101018,桃園市桃園區
竊盜,1101018,桃園市中壢區
竊盜,1101018,臺北市士林區
竊盜,1101018,高雄市左營區
竊盜,1101018,臺北市大安區
竊盜,1101018,嘉義市西區
竊盜,1101018,臺北市士林區
竊盜,1101019,花蓮縣吉安鄉
竊盜,1101019,新北市三重區
竊盜,1101019,臺南市東區
竊盜,1101020,花蓮縣新城鄉
竊盜,1101020,雲林縣斗六市
竊盜,1101020,臺中市潭子區
竊盜,1101020,新北市土城區
竊盜,1101020,雲林縣斗南鎮
竊盜,1101020,臺北市士林區
竊盜,1101020,新北市深坑區
竊盜,1101021,臺南市永康區
竊盜,1101021,臺北市中山區
竊盜,1101021,苗栗縣後龍鎮
竊盜,1101021,新北市新店區
竊盜,1101021,臺東縣成功鎮
竊盜,1101022,嘉義縣布袋鎮
竊盜,1101022,嘉義市東區
竊盜,1101022,臺南市東區
竊盜,1101022,臺北市文山區
竊盜,1101022,新北市板橋區
竊盜,1101023,桃園市中壢區
竊盜,1101023,桃園市桃園區
竊盜,1101023,臺中市北區
竊盜,1101023,臺東縣臺東市
竊盜,1101023,臺中市南屯區
竊盜,1101023,臺南市南區
竊盜,1101024,臺中市北區
竊盜,1101024,嘉義市東區
竊盜,1101024,屏東縣潮州鎮
竊盜,1101024,嘉義縣大林鎮
竊盜,1101024,臺北市北投區
竊盜,1101024,臺南市佳里區
竊盜,1101024,彰化縣花壇鄉
竊盜,1101024,臺南市安南區
竊盜,1101024,高雄市左營區
竊盜,1101025,臺北市大同區
竊盜,1101025,臺北市士林區
竊盜,1101025,雲林縣二崙鄉
竊盜,1101025,嘉義市西區
竊盜,1101025,桃園市桃園區
竊盜,1101026,臺北市士林區
竊盜,1101026,高雄市三民區
竊盜,1101026,新北市三峽區
竊盜,1101026,南投縣草屯鎮
竊盜,1101027,新北市三重區
竊盜,1101027,高雄市旗津區
竊盜,1101027,臺北市北投區
竊盜,1101027,新北市汐止區
竊盜,1101027,高雄市旗津區
竊盜,1101027,雲林縣莿桐鄉
竊盜,1101028,彰化縣竹塘鄉
竊盜,1101028,臺北市北投區
竊盜,1101028,高雄市苓雅區
竊盜,1101029,臺中市潭子區
竊盜,1101029,臺南市中西區
竊盜,1101029,宜蘭縣羅東鎮
竊盜,1101029,雲林縣斗六市
竊盜,1101029,臺東縣關山鎮
竊盜,1101029,新北市中和區
竊盜,1101029,桃園市龜山區
竊盜,1101030,桃園市桃園區
竊盜,1101030,高雄市鳳山區
竊盜,1101030,臺南市永康區
竊盜,1101030,新北市林口區
竊盜,1101030,臺中市龍井區
竊盜,1101030,高雄市左營區
竊盜,1101031,彰化縣伸港鄉
竊盜,1101031,臺中市北屯區
竊盜,1101031,臺北市大安區
竊盜,1101031,臺南市麻豆區
竊盜,1101031,宜蘭縣蘇澳鎮
竊盜,1101031,臺北市北投區
竊盜,1101101,臺南市安南區
竊盜,1101101,臺中市梧棲區
竊盜,1101101,臺南市南區
竊盜,1101101,臺北市中正區
竊盜,1101102,臺北市北投區
竊盜,1101102,臺北市北投區
竊盜,1101102,宜蘭縣羅東鎮
竊盜,1101102,臺南市安南區
竊盜,1101102,高雄市左營區
竊盜,1101102,臺北市文山區
竊盜,1101103,臺南市永康區
竊盜,1101103,臺北市大安區
竊盜,1101103,彰化縣埔心鄉
竊盜,1101103,南投縣竹山鎮
竊盜,1101104,新北市三重區
竊盜,1101104,新北市瑞芳區
竊盜,1101104,臺南市麻豆區
竊盜,1101104,新北市瑞芳區
竊盜,1101104,臺中市太平區
竊盜,1101105,新竹市北區
竊盜,1101105,嘉義縣朴子市
竊盜,1101105,雲林縣褒忠鄉
竊盜,1101105,桃園市大溪區
竊盜,1101105,臺中市西屯區
竊盜,1101105,新北市三重區
竊盜,1101106,新北市樹林區
竊盜,1101106,新北市板橋區
竊盜,1101106,桃園市桃園區
竊盜,1101106,嘉義縣太保市
竊盜,1101106,臺南市安南區
竊盜,1101106,嘉義縣中埔鄉
竊盜,1101107,雲林縣北港鎮
竊盜,1101107,基隆市安樂區
竊盜,1101107,桃園市桃園區
竊盜,1101107,彰化縣大城鄉
竊盜,1101107,新北市三重區
竊盜,1101107,宜蘭縣羅東鎮
竊盜,1101108,臺北市南港區
竊盜,1101108,臺北市南港區
竊盜,1101108,高雄市湖內區
竊盜,1101108,臺北市中山區
竊盜,1101108,嘉義市西區
竊盜,1101108,雲林縣斗六市
竊盜,1101108,新北市中和區
竊盜,1101108,基隆市暖暖區
竊盜,1101108,桃園市大溪區
竊盜,1101108,新北市板橋區
竊盜,1101108,南投縣草屯鎮
竊盜,1101109,桃園市桃園區
竊盜,1101109,臺中市沙鹿區
竊盜,1101109,臺北市松山區
竊盜,1101109,臺北市北投區
竊盜,1101110,臺北市士林區
竊盜,1101110,桃園市大園區
竊盜,1101111,南投縣草屯鎮
竊盜,1101111,桃園市桃園區
竊盜,1101111,彰化縣溪湖鎮
竊盜,1101111,新北市板橋區
竊盜,1101112,新北市土城區
竊盜,1101112,臺中市東區
竊盜,1101112,臺北市萬華區
竊盜,1101112,臺中市北屯區
竊盜,1101112,新竹縣竹東鎮
竊盜,1101113,屏東縣新園鄉
竊盜,1101113,嘉義市東區
竊盜,1101113,新北市三重區
竊盜,1101113,臺中市潭子區
竊盜,1101113,臺中市西屯區
竊盜,1101113,臺中市西區
竊盜,1101114,臺中市北區
竊盜,1101114,臺北市南港區
竊盜,1101114,臺北市內湖區
竊盜,1101114,臺中市霧峰區
竊盜,1101114,南投縣仁愛鄉
竊盜,1101114,臺北市內湖區
竊盜,1101116,彰化縣田尾鄉
竊盜,1101116,新北市板橋區
竊盜,1101116,新北市三重區
竊盜,1101116,高雄市小港區
竊盜,1101116,嘉義縣番路鄉
竊盜,1101116,新北市三重區
竊盜,1101116,臺南市東區
竊盜,1101117,臺北市內湖區
竊盜,1101117,新竹縣湖口鄉
竊盜,1101117,桃園市桃園區
竊盜,1101118,彰化縣鹿港鎮
竊盜,1101119,臺北市萬華區
竊盜,1101119,臺北市內湖區
竊盜,1101120,新北市新莊區
竊盜,1101120,澎湖縣馬公市
竊盜,1101120,屏東縣林邊鄉
竊盜,1101120,臺南市仁德區
竊盜,1101120,雲林縣西螺鎮
竊盜,1101121,臺南市安南區
竊盜,1101121,臺北市信義區
竊盜,1101122,臺中市潭子區
竊盜,1101123,臺北市萬華區
竊盜,1101123,雲林縣斗六市
竊盜,1101123,新北市土城區
竊盜,1101124,新北市土城區
竊盜,1101125,臺南市安南區
竊盜,1101125,臺北市士林區
竊盜,1101126,臺北市大安區
竊盜,1101126,臺北市中正區
竊盜,1101126,新竹縣竹東鎮
竊盜,1101126,彰化縣埤頭鄉
竊盜,1101127,新竹縣湖口鄉
竊盜,1101127,新竹縣竹東鎮
竊盜,1101127,桃園市大溪區
竊盜,1101128,臺北市信義區
竊盜,1101129,基隆市中正區
竊盜,1101129,臺北市文山區
竊盜,1101130,新北市新莊區
竊盜,1101201,金門縣金城鎮
竊盜,1101201,宜蘭縣頭城鎮
竊盜,1101201,屏東縣潮州鎮
竊盜,1101201,澎湖縣馬公市
竊盜,1101201,臺北市內湖區
竊盜,1101202,新北市三峽區
竊盜,1101202,臺南市北區
竊盜,1101202,基隆市中正區
竊盜,1101203,新北市三重區
竊盜,1101203,臺北市南港區
竊盜,1101205,南投縣竹山鎮
竊盜,1101205,彰化縣溪州鄉
竊盜,1101206,新竹縣湖口鄉
竊盜,1101206,桃園市大溪區
竊盜,1101206,南投縣竹山鎮
竊盜,1101207,基隆市安樂區
竊盜,1101207,高雄市小港區
竊盜,1101208,臺北市萬華區
竊盜,1101208,彰化縣秀水鄉
竊盜,1101208,臺中市烏日區
竊盜,1101208,新北市樹林區
竊盜,1101208,臺中市太平區
竊盜,1101209,臺南市中西區
竊盜,1101210,新竹縣湖口鄉
竊盜,1101211,高雄市前金區
竊盜,1101212,彰化縣彰化市
竊盜,1101213,臺南市安南區
竊盜,1101214,苗栗縣造橋鄉
竊盜,1101215,臺北市萬華區
竊盜,1101217,桃園市桃園區
竊盜,1101217,嘉義縣太保市
竊盜,1101217,桃園市中壢區
竊盜,1101218,高雄市三民區
竊盜,1101220,嘉義市西區
竊盜,1101222,南投縣草屯鎮
竊盜,1101222,高雄市三民區
竊盜,1101224,臺中市東區
竊盜,1101229,雲林縣口湖鄉
